focus_group_subtype,focus_group_subtype_id,doc_no_within_subtype,question_id,question_text,parent_num,parent_answer
media_group,3,1,1,"write down a couple of positive ways that technology has impacted your child over the pandemic, and also a couple of negative ways that technology has impacted your child. After you do that, after you jot down a couple, I'd like you to circle whichever one has had the biggest overall impact, the good or the bad",2,negative 
media_group,3,1,1,"write down a couple of positive ways that technology has impacted your child over the pandemic, and also a couple of negative ways that technology has impacted your child. After you do that, after you jot down a couple, I'd like you to circle whichever one has had the biggest overall impact, the good or the bad",3,negative 
media_group,3,1,1,"write down a couple of positive ways that technology has impacted your child over the pandemic, and also a couple of negative ways that technology has impacted your child. After you do that, after you jot down a couple, I'd like you to circle whichever one has had the biggest overall impact, the good or the bad",4,I will say both.
media_group,3,1,1,"write down a couple of positive ways that technology has impacted your child over the pandemic, and also a couple of negative ways that technology has impacted your child. After you do that, after you jot down a couple, I'd like you to circle whichever one has had the biggest overall impact, the good or the bad",5,"I was going to say the same. For me, it's both"
media_group,3,1,1,"write down a couple of positive ways that technology has impacted your child over the pandemic, and also a couple of negative ways that technology has impacted your child. After you do that, after you jot down a couple, I'd like you to circle whichever one has had the biggest overall impact, the good or the bad",1,negative 
media_group,3,1,2,how did your child use technology before the pandemic for educational purposes? ,5,"My son goes to our charter school. Before the pandemic, he was using computers to do most of his work at home. But it was really just about schoolwork. So it wasn't doing anything above and beyond that. I definitely found that it was beneficial because he was able to access more materials. When I think of school books, I don't know, an Encyclopedia Britannica just always pops into my head. I'm like, at least you don't have to walk around with this large book, but now you have access to all of that content and much more. That's kind of the framework that I've always been able to use. But I didn't feel like he understood that at that time. Being able to go on Google and just search, I mean, it wasn't something that he really understood at the time."
media_group,3,1,2,how did your child use technology before the pandemic for educational purposes? ,1,"It was pretty minimal for school. It was mostly, I mean, they did use some Chromebooks for some projects at school that they share. She was in a public school, she still is. But overall, the use of the computer was mostly to do research, for project-based stuff. And punctually to, I mean, in fifth grade more than in sixth, strangely enough, there's a lot of use of Google Class, submitting essays, and things like that, but it was still very minimal."
media_group,3,1,2,how did your child use technology before the pandemic for educational purposes? ,4,"My child also had access to the computer before the pandemic at school. He also learned [inaudible 00:19:59] at school. It was somewhat minimal. What I love then was that he would come back home, and use the computer for his assignment and most of his thing, and then he was more confident using the computer than writing. And I was trying to get him an access or get the accommodation for assistive technology for him all through the pandemic. And while working, they had to evaluate him and saw that it was more better for him to be on the computer, to use computer for his academic work more at school because it wasn't restricted somehow with the use of computer at school.
	But when he got home, he did everything on the computer. And also, not just for academic work, he also did it for his games and every other thing. But when he transitioned to remote learning now, he's also gained confidence, independence in using everything on the computer. So that's why I say it's half-half. The other half is no. It's complete reliance on the computer. Now you can't get him off it, you can't tell him to stop. You give him a time, he [inaudible 00:21:23]. They will scream and shout. One time he stays until 2:00 AM on the computer trying to [inaudible 00:21:37] and do it ..."
media_group,3,1,2,how did your child use technology before the pandemic for educational purposes? ,3,"My son before the pandemic was mostly iPad for his ... He had an accommodation. So he would use the iPad occasionally, but nothing crazy. I mean, nothing obsessive. Since the pandemic, it has gone to zero to 100. As soon as they closed the school down, as soon as de Blasio said, ""School's closing,"" it literally went from zero to 100. It's just like he's obsessed with it. Very similar experiences to Parent 4. He does not want to get off of it. It is a constant fight. It is a constant battle of putting in appropriate guidelines. It is a push and shove it. I feel bad some days because I'm like, ""You can't use it except only for school."" But then at the same time because of the pandemic, that's how he socializes a lot of time with his friends. So it's almost like, ""Well, do I punish him by taking away the one thing he really holds most dear to his heart? But then if I do that, I take away his ability to socialize with his friends."". It's a very tough seat. I'm like on a seesaw. It's constancy seesaw, it's a constant weighing the pros and the cons. He's a high functioning ASD. He's got essentially Asperger's and ADHD so he gets hyper-focused and very upset very easily if his hyper focus if it's cut off. No matter how many minutes, no matter how many stop watches, countdowns, the whole nine, it's very trying. That's why I have these bands."
media_group,3,1,2,how did your child use technology before the pandemic for educational purposes? ,2,"My son's older through all these kids, but he's still trying to get his diploma from high school. He had a lot of issues on top of the ADD, he had some depression, and PTSD. We recently moved out to Maine. So now we're out of New York City and we're in the country. When he was in New York City and school's opened, being accepted to use the computer to hand in assignments, answer emails from teachers, that kind of thing. So he spends a lot of his time on the computer with gaming.Technology has always been his thing. One, I think it just gives him something to do. That takes his brain away from everything else that's going on in his life. But school-wise, there was in-person learning so he didn't ... The transition to in-person learning, I mean, strictly computer learning has been difficult with him because he's actually a social kid. I think so beforehand, so when the pandemic first started, he was like, ""This is awesome, because I'm an introvert and now I don't happen to see people."" [inaudible 00:25:58] really quick. Now a lot of his stuff is he communicates with school and teachers and advisers, friends. I mean, again, there's a lot of online gaming that he does and he actually even streams movies and television and stuff.It's always been hard for him to regulate that. Now that he is an adult and taller and stronger than I am, it's hard for me to kind of step in. I can't move on or just physically take it away from him.He has a job, which has helped. That's gotten him out of the house."
media_group,3,1,2,how did your child use technology before the pandemic for educational purposes? ,1,"I don't know. It's been ... I mean, because she was remote for a certain time ... I mean, it was horrible.It started well. And then it went to [inaudible 00:28:05] so much more that ... I mean, with her psychiatrists, we had to decide to use medication because it was too much. Then she was on blended learning, which ended up being remote for most of the time. Interestingly enough, the blended time was horrible when she was at home because it was asynchronous learning. So the fact that she was not engaged with a teacher and had to work independently using tools, I mean, we had to spy remotely on her computer because, I mean, it's Netflix, it's anime. We're in anime Japanese World 24/7 so much that she would even hide the laptop under her bed so that we forget about it and pull it out at night. We'd find her in the closet in the middle of the night watching anime. And she said, ""I don't remember. I must have been sleepwalking."" Those times were hard. I don't know if it's maturity. I mean, it's hard. The remote school thing, I mean, it's constantly needing to juggle between trying to get her to be independent and also have her accept that we're still her parents, and we have to be teachers at the same time. We're in that really weird role of having to do both. Overall, I mean, she's a trooper for most of the time and medication had helped with the crisis and the fact that we put a doorstopper, like one of those remotes so she can't slam the door anymore and break the wall, all of that helped. I think the combination of both. I think the crisis, the pandemic coupled with so much screen time, the need of escapism, I don't know who brought that up earlier that, all of that combined with her anxiety was a wonderful melting pot. I mean, now it's much more under control. I mean, it's not perfect, but at least she doesn't have crisis as many, at all."
